
Organizers 	 O
report 	 O
. 	 O

Saudi 	 COU
Arabia 	 COU
's 	 O
King 	 PER
Abdullah 	 PER
held 	 O
talks 	 O
with 	 O
Pakistani 	 O
President 	 O
Pervez 	 PER
Musharraf 	 PER
Saturday 	 O
in 	 O
the 	 O
kingdom 	 O
. 	 O
Official 	 O
media 	 O
in 	 O
Saudi 	 COU
Arabia 	 COU
reported 	 O
that 	 O
the 	 O
two 	 O
met 	 O
at 	 O
a 	 O
palace 	 O
in 	 O
Jeddah 	 CIT
. 	 O
News 	 O
media 	 O
say 	 O
the 	 O
leaders 	 O
and 	 O
their 	 O
delegations 	 O
discussed 	 O
ways 	 O
to 	 O
enhance 	 O
cooperation 	 O
between 	 O
the 	 O
two 	 O
nations 	 O
. 	 O
According 	 O
to 	 O
reports 	 O
, 	 O
King 	 PER
Abdullah 	 PER
also 	 O
held 	 O
a 	 O
lunch 	 O
party 	 O
for 	 O
General 	 O
Musharraf 	 PER
and 	 O
his 	 O
delegation 	 O
. 	 O
The 	 O
Pakistani 	 O
president 	 O
said 	 O
he 	 O
was 	 O
grateful 	 O
for 	 O
the 	 O
hospitality 	 O
. 	 O

Gunmen 	 O
in 	 O
Nigeria 	 COU
have 	 O
killed 	 O
at 	 O
least 	 O
five 	 O
police 	 O
officers 	 O
in 	 O
an 	 O
attack 	 O
on 	 O
a 	 O
police 	 O
station 	 O
in 	 O
the 	 O
restive 	 O
southern 	 O
oil 	 O
region 	 O
early 	 O
this 	 O
morning 	 O
Sunday 	 O
. 	 O
Police 	 O
spokeswoman 	 O
Ireju 	 PER
Bares 	 PER
said 	 O
the 	 O
unidentified 	 O
gunmen 	 O
also 	 O
stole 	 O
arms 	 O
and 	 O
ammunition 	 O
from 	 O
the 	 O
station 	 O
at 	 O
Bonny 	 CIT
in 	 O
the 	 O
southern 	 O
Nigerian 	 COU
state 	 O
of 	 O
Rivers 	 COU
. 	 O

Afghan 	 COU
officials 	 O
say 	 O
they 	 O
have 	 O
found 	 O
the 	 O
beheaded 	 O
bodies 	 O
of 	 O
three 	 O
policemen 	 O
who 	 O
disappeared 	 O
Friday 	 O
. 	 O
They 	 O
say 	 O
the 	 O
policemen 	 O
disappeared 	 O
in 	 O
Helmund 	 CIT
Province 	 CIT
. 	 O
Authorities 	 O
blamed 	 O
Taleban 	 ORG
fighters 	 O
for 	 O
the 	 O
killings 	 O
. 	 O
In 	 O
central 	 O
Afghanistan 	 COU
, 	 O
police 	 O
killed 	 O
four 	 O
militants 	 O
in 	 O
a 	 O
clash 	 O
in 	 O
Ghazni 	 CIT
Province 	 CIT
. 	 O
Officials 	 O
say 	 O
a 	 O
firefight 	 O
erupted 	 O
after 	 O
militants 	 O
set 	 O
off 	 O
a 	 O
bomb 	 O
near 	 O
a 	 O
police 	 O
vehicle 	 O
, 	 O
wounding 	 O
four 	 O
officers 	 O
. 	 O
Officials 	 O
in 	 O
Afghanistan 	 COU
say 	 O
almost 	 O
400 	 O
people 	 O
, 	 O
mostly 	 O
insurgents 	 O
, 	 O
have 	 O
been 	 O
killed 	 O
in 	 O
an 	 O
upsurge 	 O
of 	 O
violence 	 O
since 	 O
mid-May 	 O
. 	 O

Kidnappers 	 O
in 	 O
Haiti 	 COU
have 	 O
released 	 O
a 	 O
group 	 O
of 	 O
children 	 O
they 	 O
abducted 	 O
from 	 O
a 	 O
school 	 O
bus 	 O
early 	 O
Thursday 	 O
. 	 O
Police 	 O
said 	 O
Friday 	 O
the 	 O
kidnappers 	 O
freed 	 O
the 	 O
children 	 O
unharmed 	 O
later 	 O
Thursday 	 O
. 	 O
Local 	 O
media 	 O
report 	 O
the 	 O
abductors 	 O
were 	 O
paid 	 O
an 	 O
unspecified 	 O
ransom 	 O
. 	 O
But 	 O
the 	 O
Associated 	 ENT
Press 	 ENT
quotes 	 O
a 	 O
police 	 O
commissioner 	 O
as 	 O
denying 	 O
any 	 O
ransom 	 O
was 	 O
paid 	 O
. 	 O
Police 	 O
also 	 O
said 	 O
they 	 O
are 	 O
working 	 O
to 	 O
secure 	 O
the 	 O
release 	 O
of 	 O
an 	 O
American 	 O
missionary 	 O
kidnapped 	 O
Thursday 	 O
in 	 O
a 	 O
separate 	 O
incident 	 O
. 	 O
Neither 	 O
case 	 O
was 	 O
considered 	 O
to 	 O
be 	 O
politically 	 O
motivated 	 O
. 	 O

Panama 	 COU
and 	 O
Chile 	 COU
have 	 O
signed 	 O
a 	 O
free 	 O
trade 	 O
agreement 	 O
that 	 O
will 	 O
eliminate 	 O
nearly 	 O
all 	 O
tariffs 	 O
between 	 O
the 	 O
nations 	 O
within 	 O
10 	 O
years 	 O
. 	 O
Signed 	 O
Tuesday 	 O
, 	 O
the 	 O
deal 	 O
aims 	 O
to 	 O
improve 	 O
access 	 O
to 	 O
markets 	 O
, 	 O
cross-border 	 O
services 	 O
and 	 O
conflict 	 O
resolution 	 O
. 	 O
It 	 O
also 	 O
includes 	 O
an 	 O
environmental 	 O
cooperation 	 O
pact 	 O
. 	 O
Panamanian 	 O
officials 	 O
say 	 O
the 	 O
pact 	 O
will 	 O
also 	 O
help 	 O
the 	 O
tiny 	 O
country 	 O
to 	 O
build 	 O
its 	 O
export 	 O
industry 	 O
. 	 O

Two 	 O
years 	 O
ago 	 O
, 	 O
war 	 O
broke 	 O
out 	 O
along 	 O
Israel 	 COU
's 	 O
border 	 O
with 	 O
Lebanon 	 COU
. 	 O
The 	 O
conflict 	 O
known 	 O
as 	 O
the 	 O
Second 	 O
Lebanon 	 O
War 	 O
started 	 O
after 	 O
Hezbollah 	 ORG
guerrillas 	 O
attacked 	 O
an 	 O
Israeli 	 COU
patrol 	 O
and 	 O
seized 	 O
two 	 O
Israeli 	 COU
soldiers 	 O
. 	 O
On 	 O
July 	 O
14 	 O
, 	 O
Hezbollah 	 ORG
returned 	 O
the 	 O
bodies 	 O
of 	 O
the 	 O
two 	 O
Israeli 	 COU
soldiers 	 O
in 	 O
a 	 O
prisoner 	 O
exchange 	 O
with 	 O
the 	 O
Jewish 	 O
state 	 O
. 	 O
No 	 O
Israeli 	 COU
town 	 O
was 	 O
more 	 O
affected 	 O
by 	 O
the 	 O
war 	 O
than 	 O
Metullah 	 CIT
, 	 O
the 	 O
closest 	 O
Israeli 	 COU
town 	 O
to 	 O
Lebanon 	 COU
. 	 O
Jim 	 PER
Teeple 	 PER
recently 	 O
visited 	 O
the 	 O
town 	 O
where 	 O
many 	 O
residents 	 O
say 	 O
they 	 O
want 	 O
a 	 O
lasting 	 O
peace 	 O
with 	 O
Lebanon 	 COU
. 	 O

An 	 O
Australian 	 O
man 	 O
has 	 O
been 	 O
jailed 	 O
for 	 O
more 	 O
than 	 O
five 	 O
years 	 O
for 	 O
duping 	 O
people 	 O
into 	 O
sending 	 O
him 	 O
millions 	 O
of 	 O
dollars 	 O
in 	 O
a 	 O
global 	 O
Internet 	 O
scam 	 O
. 	 O
Nick 	 PER
Marinellis 	 PER
pleaded 	 O
guilty 	 O
Mondayinthe 	 O
New 	 ORG
South 	 ORG
Wales 	 ORG
District 	 ORG
Court 	 ORG
to 	 O
10 	 O
counts 	 O
of 	 O
fraud 	 O
for 	 O
taking 	 O
part 	 O
in 	 O
a 	 O
hoax 	 O
called 	 O
the 	 O
Nigerian 	 O
Scam 	 O
. 	 O
The 	 O
deception 	 O
promises 	 O
people 	 O
millions 	 O
from 	 O
Nigerian 	 O
bank 	 O
accounts 	 O
in 	 O
return 	 O
for 	 O
an 	 O
" 	 O
administration 	 O
fee 	 O
. 	 O
" 	 O
Prosecutors 	 O
say 	 O
Marinellis 	 PER
fleeced 	 O
his 	 O
victims 	 O
of 	 O
$ 	 O
3.8 	 O
million 	 O
. 	 O

At 	 O
least 	 O
30 	 O
people 	 O
were 	 O
killed 	 O
in 	 O
a 	 O
theater 	 O
fire 	 O
that 	 O
broke 	 O
out 	 O
Monday 	 O
night 	 O
in 	 O
the 	 O
Egyptian 	 O
town 	 O
of 	 O
Beni 	 CIT
Suef 	 CIT
, 	 O
about 	 O
100 	 O
kilometers 	 O
south 	 O
of 	 O
Cairo 	 CIT
. 	 O
At 	 O
least 	 O
45 	 O
were 	 O
injured 	 O
. 	 O
Candles 	 O
being 	 O
used 	 O
by 	 O
performers 	 O
came 	 O
into 	 O
contact 	 O
with 	 O
the 	 O
stage 	 O
curtains 	 O
during 	 O
a 	 O
play 	 O
, 	 O
panicking 	 O
the 	 O
crowd 	 O
of 	 O
about 	 O
1000 	 O
people 	 O
who 	 O
fled 	 O
the 	 O
theater 	 O
. 	 O
Some 	 O
of 	 O
the 	 O
victims 	 O
are 	 O
believed 	 O
to 	 O
have 	 O
been 	 O
trampled 	 O
underfoot 	 O
. 	 O

Eminem 	 PER
and 	 O
his 	 O
ex-wife 	 O
Kim 	 PER
Mathers 	 PER
have 	 O
agreed 	 O
not 	 O
to 	 O
publicly 	 O
criticize 	 O
each 	 O
other 	 O
. 	 O
The 	 O
estranged 	 O
couple 	 O
say 	 O
the 	 O
March 	 O
26 	 O
decision 	 O
arises 	 O
from 	 O
their 	 O
desire 	 O
not 	 O
to 	 O
hurt 	 O
their 	 O
11-year-old 	 O
daughter 	 O
, 	 O
Hailie 	 PER
. 	 O
Mathers 	 PER
, 	 O
who 	 O
has 	 O
twice 	 O
married 	 O
and 	 O
divorced 	 O
the 	 O
34-year-old 	 O
rap 	 O
star 	 O
, 	 O
has 	 O
frequently 	 O
criticized 	 O
her 	 O
ex-husband 	 O
's 	 O
lack 	 O
of 	 O
compassion 	 O
and 	 O
fidelity 	 O
. 	 O
In 	 O
return 	 O
, 	 O
Eminem 	 PER
has 	 O
often 	 O
assailed 	 O
Kim 	 PER
in 	 O
his 	 O
lyrics 	 O
. 	 O
The 	 O
couple 	 O
wed 	 O
in 	 O
1999 	 O
, 	 O
divorced 	 O
in 	 O
2001 	 O
, 	 O
remarried 	 O
in 	 O
January 	 O
2006 	 O
, 	 O
and 	 O
separated 	 O
three 	 O
months 	 O
later 	 O
. 	 O
Their 	 O
second 	 O
divorce 	 O
was 	 O
finalized 	 O
in 	 O
December 	 O
. 	 O

View 	 O
flash 	 O
slideshow 	 O
narrated 	 O
by 	 O
Sgt 	 O
. 	 O
Roche 	 PER
US 	 ORG
Army 	 ORG
Sergeant 	 O
Joe 	 PER
Roche 	 PER
served 	 O
in 	 O
Baghdad 	 CIT
for 	 O
15 	 O
months 	 O
with 	 O
the 	 O
16th 	 O
Engineer 	 O
Battalion 	 O
of 	 O
the 	 O
1st 	 O
Armored 	 O
Division 	 O
. 	 O
His 	 O
unit 	 O
worked 	 O
on 	 O
helping 	 O
rebuild 	 O
Iraq 	 COU
's 	 O
infrastructure 	 O
, 	 O
including 	 O
schools 	 O
and 	 O
sewage 	 O
systems 	 O
, 	 O
while 	 O
fighting 	 O
insurgents 	 O
and 	 O
terrorists 	 O
. 	 O
His 	 O
unit 	 O
also 	 O
helped 	 O
train 	 O
new 	 O
Iraqi 	 O
soldiers 	 O
. 	 O
The 	 O
following 	 O
are 	 O
pictures 	 O
he 	 O
took 	 O
during 	 O
his 	 O
stay 	 O
in 	 O
Iraq 	 COU
. 	 O

Venezuelan 	 O
President 	 O
Hugo 	 PER
Chavez 	 PER
arrived 	 O
in 	 O
Iran 	 COU
Wednesday 	 O
for 	 O
talks 	 O
with 	 O
officials 	 O
on 	 O
bilateral 	 O
issues 	 O
. 	 O
Reports 	 O
say 	 O
he 	 O
is 	 O
expected 	 O
to 	 O
meet 	 O
with 	 O
Iranian 	 O
President 	 O
Mahmoud 	 PER
Ahmadinejad 	 PER
on 	 O
Thursday 	 O
as 	 O
well 	 O
as 	 O
launch 	 O
a 	 O
joint 	 O
development 	 O
bank 	 O
and 	 O
bilateral 	 O
investment 	 O
fund 	 O
. 	 O
Mr. 	 PER
Chavez 	 PER
' 	 O
visit 	 O
to 	 O
Iran 	 COU
follows 	 O
a 	 O
meeting 	 O
with 	 O
Latin 	 O
American 	 O
and 	 O
Arab 	 O
leaders 	 O
in 	 O
Qatar 	 COU
. 	 O
The 	 O
Venezuelan 	 O
president 	 O
has 	 O
made 	 O
several 	 O
trips 	 O
to 	 O
Iran 	 COU
since 	 O
Mr. 	 PER
Ahmadinejad 	 PER
took 	 O
power 	 O
in 	 O
2005 	 O
. 	 O
Both 	 O
leaders 	 O
have 	 O
forged 	 O
close 	 O
ties 	 O
. 	 O
Later 	 O
this 	 O
week 	 O
, 	 O
Mr. 	 PER
Chavez 	 PER
heads 	 O
to 	 O
Asia 	 O
for 	 O
talks 	 O
with 	 O
regional 	 O
leaders 	 O
. 	 O

The 	 O
UN 	 ORG
Security 	 ORG
Council 	 ORG
unanimously 	 O
adopted 	 O
two 	 O
resolutions 	 O
Thursday 	 O
— 	 O
one 	 O
on 	 O
the 	 O
DRC 	 O
and 	 O
the 	 O
other 	 O
on 	 O
Somalia 	 COU
. 	 O
The 	 O
Security 	 O
Council 	 O
has 	 O
voted 	 O
in 	 O
favor 	 O
of 	 O
sending 	 O
an 	 O
additional 	 O
3,000 	 O
troops 	 O
to 	 O
DRC 	 COU
to 	 O
beef 	 O
up 	 O
MONUC 	 O
, 	 O
the 	 O
UN 	 ORG
mission 	 O
there 	 O
. 	 O
It 	 O
also 	 O
approved 	 O
giving 	 O
the 	 O
sanctions 	 O
committee 	 O
authority 	 O
to 	 O
impose 	 O
sanctions 	 O
against 	 O
those 	 O
who 	 O
impede 	 O
the 	 O
peace 	 O
process 	 O
in 	 O
Somalia 	 COU
, 	 O
hinder 	 O
humanitarian 	 O
aid 	 O
efforts 	 O
and 	 O
violate 	 O
the 	 O
arms 	 O
embargo 	 O
. 	 O

El 	 COU
Salvador 	 COU
is 	 O
preparing 	 O
to 	 O
send 	 O
another 	 O
contingent 	 O
of 	 O
380 	 O
soldiers 	 O
to 	 O
Iraq 	 COU
. 	 O
Salvadoran 	 COU
President 	 O
Antonio 	 PER
Saca 	 PER
said 	 O
the 	 O
troops 	 O
will 	 O
be 	 O
participating 	 O
in 	 O
humanitarian 	 O
activities 	 O
such 	 O
as 	 O
building 	 O
water 	 O
systems 	 O
and 	 O
other 	 O
infrastructure 	 O
projects 	 O
. 	 O
The 	 O
French 	 COU
news 	 O
agency 	 O
, 	 O
AFP 	 ORG
, 	 O
reports 	 O
the 	 O
latest 	 O
troops 	 O
will 	 O
relieve 	 O
an 	 O
earlier 	 O
contingent 	 O
stationed 	 O
about 	 O
100 	 O
kilometers 	 O
south 	 O
of 	 O
Baghdad 	 CIT
. 	 O
El 	 COU
Salvador 	 COU
is 	 O
the 	 O
only 	 O
Latin 	 O
American 	 O
country 	 O
which 	 O
still 	 O
has 	 O
troops 	 O
in 	 O
Iraq 	 COU
. 	 O

Zimbabwe 	 COU
marks 	 O
25 	 O
years 	 O
of 	 O
independence 	 O
from 	 O
Britain 	 COU
Monday 	 O
amid 	 O
opposition 	 O
claims 	 O
that 	 O
the 	 O
country 	 O
's 	 O
economy 	 O
has 	 O
not 	 O
done 	 O
well 	 O
during 	 O
those 	 O
years 	 O
. 	 O
Officials 	 O
said 	 O
leaders 	 O
of 	 O
neighboring 	 O
Democratic 	 COU
Republic 	 COU
of 	 COU
Congo 	 COU
, 	 O
Tanzania 	 COU
, 	 O
Namibia 	 COU
, 	 O
Angola 	 COU
, 	 O
Mozambique 	 COU
and 	 O
Botswana 	 COU
are 	 O
attending 	 O
the 	 O
anniversary 	 O
celebrations 	 O
. 	 O
President 	 O
Robert 	 PER
Mugabe 	 PER
, 	 O
who 	 O
has 	 O
led 	 O
the 	 O
country 	 O
since 	 O
independence 	 O
, 	 O
is 	 O
scheduled 	 O
to 	 O
give 	 O
a 	 O
speech 	 O
extolling 	 O
the 	 O
country 	 O
's 	 O
achievements 	 O
. 	 O
But 	 O
opposition 	 O
groups 	 O
are 	 O
saying 	 O
that 	 O
the 	 O
country 	 O
is 	 O
worse 	 O
off 	 O
today 	 O
than 	 O
when 	 O
it 	 O
gained 	 O
independence 	 O
25 	 O
years 	 O
ago 	 O
. 	 O

China 	 COU
's 	 O
first 	 O
private 	 O
airline 	 O
is 	 O
expected 	 O
to 	 O
take 	 O
to 	 O
the 	 O
skies 	 O
this 	 O
year 	 O
. 	 O
The 	 O
official 	 O
Xinhua 	 ORG
news 	 ORG
agency 	 ORG
says 	 O
Sunday 	 O
Okay 	 ORG
Airways 	 ORG
is 	 O
undergoing 	 O
a 	 O
final 	 O
official 	 O
review 	 O
, 	 O
and 	 O
should 	 O
be 	 O
cleared 	 O
to 	 O
begin 	 O
operations 	 O
after 	 O
Nov. 	 O
20 	 O
. 	 O
Xinhua 	 ORG
said 	 O
the 	 O
Beijing-based 	 O
airline 	 O
plans 	 O
to 	 O
lease 	 O
six 	 O
U.S.-made 	 O
Boeing 	 ORG
737 	 O
aircraft 	 O
for 	 O
domestic 	 O
cargo 	 O
and 	 O
passenger 	 O
charter 	 O
flights 	 O
. 	 O
Two 	 O
other 	 O
private 	 O
airlines 	 O
, 	 O
United 	 ORG
Eagle 	 ORG
Airlines 	 ORG
and 	 O
Air 	 ORG
Spring 	 ORG
, 	 O
reportedly 	 O
hope 	 O
to 	 O
begin 	 O
flying 	 O
next 	 O
year 	 O
, 	 O
once 	 O
a 	 O
review 	 O
of 	 O
their 	 O
applications 	 O
is 	 O
completed 	 O
by 	 O
the 	 O
Civil 	 ORG
Aviation 	 ORG
Administration 	 ORG
of 	 ORG
China 	 ORG
. 	 O

The 	 O
U.S. 	 COU
Embassy 	 O
in 	 O
Saudi 	 COU
Arabia 	 COU
is 	 O
warning 	 O
that 	 O
extremists 	 O
may 	 O
be 	 O
planning 	 O
to 	 O
attack 	 O
Westerners 	 O
in 	 O
the 	 O
central 	 O
province 	 O
of 	 O
al-Qassim 	 COU
. 	 O
A 	 O
message 	 O
posted 	 O
on 	 O
the 	 O
embassy 	 O
's 	 O
website 	 O
, 	 O
and 	 O
dated 	 O
August 	 O
4 	 O
, 	 O
said 	 O
officials 	 O
there 	 O
have 	 O
received 	 O
credible 	 O
information 	 O
about 	 O
a 	 O
possible 	 O
attack 	 O
. 	 O
It 	 O
said 	 O
the 	 O
timing 	 O
and 	 O
method 	 O
of 	 O
the 	 O
potential 	 O
attacks 	 O
are 	 O
unknown 	 O
and 	 O
advises 	 O
U.S. 	 COU
citizens 	 O
to 	 O
take 	 O
necessary 	 O
precautions 	 O
. 	 O
The 	 O
embassy 	 O
says 	 O
this 	 O
is 	 O
the 	 O
first 	 O
time 	 O
this 	 O
year 	 O
it 	 O
has 	 O
warned 	 O
of 	 O
a 	 O
possible 	 O
attack 	 O
by 	 O
extremists 	 O
. 	 O

Wlodzimierz 	 PER
Cimoszewicz 	 PER
Poland 	 COU
's 	 O
parliamentary 	 O
speaker 	 O
Włodzimierz 	 PER
Cimoszewicz 	 PER
says 	 O
he 	 O
will 	 O
run 	 O
for 	 O
president 	 O
in 	 O
October 	 O
's 	 O
election 	 O
, 	 O
with 	 O
recent 	 O
opinion 	 O
polls 	 O
suggesting 	 O
he 	 O
could 	 O
win 	 O
. 	 O
Mr. 	 PER
Cimoszewicz 	 PER
, 	 O
of 	 O
the 	 O
ruling 	 O
Democratic 	 ORG
Left 	 ORG
Alliance 	 ORG
, 	 O
has 	 O
remained 	 O
untouched 	 O
by 	 O
a 	 O
string 	 O
of 	 O
scandals 	 O
that 	 O
have 	 O
tarnished 	 O
his 	 O
party 	 O
. 	 O
Polls 	 O
have 	 O
put 	 O
him 	 O
ahead 	 O
of 	 O
other 	 O
hopefuls 	 O
, 	 O
including 	 O
leading 	 O
conservative 	 O
Lech 	 PER
Kaczynski 	 PER
. 	 O
Poland 	 COU
's 	 O
President 	 PER
Alexander 	 PER
Kwasniewski 	 PER
can 	 O
not 	 O
run 	 O
for 	 O
re-election 	 O
because 	 O
he 	 O
has 	 O
already 	 O
served 	 O
two 	 O
terms 	 O
. 	 O
Opinion 	 O
polls 	 O
indicate 	 O
Polish 	 COU
leftists 	 O
will 	 O
be 	 O
defeated 	 O
in 	 O
parliamentary 	 O
elections 	 O
, 	 O
scheduled 	 O
for 	 O
September 	 O
25 	 O
. 	 O

Although 	 O
115 	 O
species 	 O
of 	 O
fish 	 ANI
have 	 O
been 	 O
identified 	 O
in 	 O
the 	 O
territorial 	 O
waters 	 O
of 	 O
Clipperton 	 NAT
Island 	 NAT
, 	 O
the 	 O
only 	 O
economic 	 O
activity 	 O
is 	 O
tuna 	 ANI
fishing 	 SPO
. 	 O

An 	 O
Ariane 	 O
rocket 	 O
has 	 O
lifted 	 O
off 	 O
from 	 O
Kourou 	 CIT
, 	 O
French 	 COU
Guiana 	 COU
, 	 O
carrying 	 O
seven 	 O
satellites 	 O
, 	 O
including 	 O
at 	 O
least 	 O
one 	 O
that 	 O
is 	 O
to 	 O
gather 	 O
intelligence 	 O
for 	 O
France 	 COU
's 	 O
military 	 O
. 	 O
The 	 O
Helios 	 O
2A 	 O
military 	 O
satellite 	 O
, 	 O
launched 	 O
from 	 O
the 	 O
European 	 ORG
Space 	 ORG
Agency 	 ORG
's 	 O
center 	 O
, 	 O
is 	 O
to 	 O
gather 	 O
both 	 O
optical 	 O
and 	 O
infrared 	 O
intelligence 	 O
. 	 O
The 	 O
other 	 O
satellites 	 O
include 	 O
the 	 O
Parasol 	 O
designed 	 O
to 	 O
study 	 O
cloud 	 O
formations 	 O
in 	 O
the 	 O
upper 	 O
atmosphere 	 O
. 	 O

A 	 O
congressman 	 O
from 	 O
South 	 COU
Carolina 	 COU
has 	 O
urged 	 O
his 	 O
colleagues 	 O
and 	 O
President 	 PER
Bush 	 PER
to 	 O
provide 	 O
better 	 O
equipment 	 O
to 	 O
troops 	 O
in 	 O
Iraq 	 COU
. 	 O
Representative 	 O
Jim 	 PER
Clyburn 	 PER
said 	 O
in 	 O
the 	 O
Democratic 	 ORG
party 	 ORG
's 	 O
weekly 	 O
radio 	 O
address 	 O
that 	 O
U.S. 	 COU
soldiers 	 O
should 	 O
never 	 O
lack 	 O
proper 	 O
equipment 	 O
nor 	 O
accurate 	 O
intelligence 	 O
. 	 O
Mr. 	 O
Clyburn 	 PER
also 	 O
said 	 O
he 	 O
opposed 	 O
attempts 	 O
to 	 O
invest 	 O
Social 	 ORG
Security 	 ORG
on 	 O
the 	 O
stock 	 O
market 	 O
, 	 O
calling 	 O
proposed 	 O
plans 	 O
a 	 O
gamble 	 O
that 	 O
could 	 O
jeopardize 	 O
benefits 	 O
for 	 O
children 	 O
. 	 O
He 	 O
also 	 O
called 	 O
for 	 O
expanding 	 O
health 	 O
insurance 	 O
coverage 	 O
and 	 O
making 	 O
college 	 O
education 	 O
more 	 O
affordable 	 O
. 	 O

A 	 O
series 	 O
of 	 O
discouraging 	 O
reports 	 O
on 	 O
the 	 O
U.S. 	 COU
economy 	 O
has 	 O
brought 	 O
sharp 	 O
criticism 	 O
from 	 O
the 	 O
Democrat 	 ORG
who 	 O
heads 	 O
a 	 O
key 	 O
economic 	 O
committee 	 O
. 	 O
Senator 	 O
Charles 	 PER
Schumer 	 PER
said 	 O
Friday 	 O
reports 	 O
showing 	 O
a 	 O
declining 	 O
job 	 O
market 	 O
and 	 O
record-high 	 O
foreclosures 	 O
are 	 O
more 	 O
evidence 	 O
that 	 O
the 	 O
U.S. 	 COU
economy 	 O
is 	 O
headed 	 O
for 	 O
recession 	 O
. 	 O
Schumer 	 PER
accuses 	 O
the 	 O
Bush 	 ORG
administration 	 ORG
of 	 O
doing 	 O
far 	 O
too 	 O
little 	 O
to 	 O
fend 	 O
off 	 O
the 	 O
economic 	 O
crisis 	 O
. 	 O
White 	 ORG
House 	 ORG
spokesman 	 O
Tony 	 PER
Fratto 	 PER
says 	 O
the 	 O
economy 	 O
is 	 O
in 	 O
for 	 O
a 	 O
" 	 O
difficult 	 O
quarter 	 O
, 	 O
" 	 O
but 	 O
notes 	 O
that 	 O
the 	 O
new 	 O
stimulus 	 O
plan 	 O
is 	 O
just 	 O
getting 	 O
underway 	 O
. 	 O
He 	 O
says 	 O
it 	 O
should 	 O
restore 	 O
economic 	 O
growth 	 O
. 	 O

Nigerian 	 O
government 	 O
officials 	 O
say 	 O
former 	 O
Liberian 	 O
leader 	 O
and 	 O
war 	 O
crimes 	 O
suspect 	 O
Charles 	 PER
Taylor 	 PER
has 	 O
disappeared 	 O
from 	 O
the 	 O
house 	 O
where 	 O
he 	 O
was 	 O
living 	 O
in 	 O
exile 	 O
in 	 O
Nigeria 	 COU
. 	 O
They 	 O
say 	 O
Taylor 	 PER
left 	 O
his 	 O
villa 	 O
in 	 O
the 	 O
southern 	 O
town 	 O
of 	 O
Calabar 	 CIT
Monday 	 O
night 	 O
. 	 O
His 	 O
disappearance 	 O
came 	 O
just 	 O
after 	 O
the 	 O
Nigerian 	 O
government 	 O
said 	 O
they 	 O
were 	 O
willing 	 O
to 	 O
allow 	 O
Liberia 	 COU
to 	 O
arrest 	 O
Taylor 	 PER
. 	 O
The 	 ORG
United 	 ORG
Nations 	 ORG
war 	 ORG
crimes 	 ORG
tribunal 	 ORG
for 	 ORG
Sierra 	 ORG
Leone 	 ORG
had 	 O
asked 	 O
for 	 O
his 	 O
arrest 	 O
on 	 O
charges 	 O
of 	 O
rape 	 O
and 	 O
torture 	 O
related 	 O
to 	 O
his 	 O
rule 	 O
in 	 O
Liberia 	 COU
and 	 O
a 	 O
civil 	 O
war 	 O
in 	 O
neighboring 	 O
Sierra 	 COU
Leone 	 COU
. 	 O

Police 	 ORG
in 	 O
northwestern 	 O
Pakistan 	 COU
say 	 O
a 	 O
suicide 	 O
bomber 	 O
detonated 	 O
an 	 O
explosives- 	 O
filled 	 O
car 	 O
at 	 O
a 	 O
security 	 O
post 	 O
Tuesday 	 O
, 	 O
killing 	 O
a 	 O
Pakistani 	 O
soldier 	 O
and 	 O
wounding 	 O
at 	 O
least 	 O
seven 	 O
others 	 O
. 	 O
Authorities 	 O
say 	 O
the 	 O
attack 	 O
occurred 	 O
in 	 O
the 	 O
town 	 O
of 	 O
Doaba 	 CIT
in 	 O
Hangu 	 NAT
district 	 NAT
. 	 O
Pakistan 	 COU
's 	 O
northwestern 	 O
tribal 	 O
areas 	 O
are 	 O
considered 	 O
to 	 O
be 	 O
Taliban 	 ORG
and 	 O
al-Qaida 	 ORG
militant 	 O
strongholds 	 O
. 	 O
Elsewhere 	 O
in 	 O
the 	 O
northwest 	 O
, 	 O
officials 	 O
say 	 O
two 	 O
rockets 	 O
landed 	 O
near 	 O
the 	 O
runway 	 O
of 	 O
Peshawar 	 CIT
airport 	 O
before 	 O
dawn 	 O
Tuesday 	 O
. 	 O
Reports 	 O
of 	 O
damage 	 O
varied 	 O
, 	 O
from 	 O
slight 	 O
to 	 O
none 	 O
at 	 O
all 	 O
. 	 O

Police 	 ORG
were 	 O
also 	 O
among 	 O
the 	 O
more 	 O
than 	 O
11 	 O
people 	 O
wounded 	 O
in 	 O
Wednesday 	 O
's 	 O
blast 	 O
, 	 O
which 	 O
happened 	 O
in 	 O
Quetta 	 CIT
, 	 O
the 	 O
provincial 	 O
capital 	 O
. 	 O
Baluchistan 	 NAT
has 	 O
long 	 O
been 	 O
the 	 O
site 	 O
of 	 O
a 	 O
low-level 	 O
insurgency 	 O
seeking 	 O
more 	 O
autonomy 	 O
for 	 O
the 	 O
province 	 O
and 	 O
a 	 O
greater 	 O
share 	 O
of 	 O
money 	 O
from 	 O
its 	 O
natural 	 O
resources 	 O
. 	 O
In 	 O
recent 	 O
weeks 	 O
, 	 O
the 	 O
region 	 O
has 	 O
also 	 O
seen 	 O
several 	 O
attacks 	 O
on 	 O
trucks 	 O
carrying 	 O
supplies 	 O
to 	 O
NATO 	 ORG
troops 	 O
in 	 O
